rank,final_lead_score,lead_reason,search_location,radius_km,hotel_name,address,source_provenance,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url,llm_distress_probability,llm_seller_fatigue_probability,llm_opportunity_score,llm_confidence,llm_top_distress_signals,llm_investment_thesis,llm_recommended_action,llm_distress_summary,created_at
1,76.0,Declining reviews,"Orlando International Drive, Florida",3.0,Super 8 by Wyndham Orlando International Drive,"5900 American Way, Orlando, FL 32819, USA",Google Places | ATTOM,3.1,1941,OPERATIONAL,14,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 1941 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: unsafe | Review volume decline: -33.33% | Rating decline: -3.0 | Renovation signals in reviews: 40.0%,4,2,3,-33.33,1.0,4.0,-3.0,0.5,0.67,-0.17,,,0.4,True,2,https://maps.google.com/?cid=7160547498519547018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.0,0.0,0,LOW,,LLM analysis failed,Monitor,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************7doA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",2026-05-25T18:12:12.341418
2,72.0,Complaint increase,"Orlando International Drive, Florida",3.0,Four Points by Sheraton Orlando International Drive,"5905 International Dr, Orlando, FL 32819, USA",Google Places | ATTOM,4,3752,OPERATIONAL,13,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: noise | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.8 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,0.8,0.0,0.8,,,0.8,True,2,https://maps.google.com/?cid=896922369922574543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.0,0.0,0,LOW,,LLM analysis failed,Monitor,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************7doA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",2026-05-25T18:12:06.608901
3,54.0,,"Orlando International Drive, Florida",3.0,SureStay Plus By Best Western Orlando International Drive,"5859 American Way, Orlando, FL 32819, USA",Google Places | ATTOM,3.6,2105,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 2105 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: unsafe | Negative review signal: refund | Negative review signal: disappointing | Review volume decline: -33.33% | Renovation signals in reviews: 100.0%,2,2,3,-33.33,1.0,1.0,0.0,0.5,1.0,-0.5,,,1.0,True,2,https://maps.google.com/?cid=2708707322529837040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.0,0.0,0,LOW,,LLM analysis failed,Monitor,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************7doA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",2026-05-25T18:12:28.344268
4,52.0,Complaint increase,"Orlando International Drive, Florida",3.0,Cambria Hotel Orlando Universal Blvd,"6801 Visitors Cir, Orlando, FL 32819, USA",Google Places | ATTOM,4.5,1993,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=9952511325429446789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.0,0.0,0,LOW,,LLM analysis failed,Monitor,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************7doA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",2026-05-25T18:12:48.705310
5,46.0,Complaint increase,"Orlando International Drive, Florida",3.0,Orlando Inn International Drive Area,"5900 American Way, Orlando, FL 32819, USA",Google Places | ATTOM,2.9,16,OPERATIONAL,9,Low rating: 2.9 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: rude | Negative review signal: unsafe | Negative review signal: stained | Complaint rate increase: 0.6,2,5,0,100.0,1.8,0.0,1.8,0.6,0.0,0.6,,,0.2,False,0,https://maps.google.com/?cid=17291968103926665780&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.0,0.0,0,LOW,,LLM analysis failed,Monitor,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************7doA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",2026-05-25T18:12:18.484594
6,46.0,Complaint increase,"Orlando International Drive, Florida",3.0,"Motel 6 Orlando, FL - International Dr","5909 American Way, Orlando, FL 32819, USA",Google Places | ATTOM,3.5,3643,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 3643 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: cockroach | Negative review signal: refund | Complaint rate increase: 0.8,2,5,0,100.0,3.2,0.0,3.2,0.8,0.0,0.8,,,0.2,False,0,https://maps.google.com/?cid=3342990123999511624&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.0,0.0,0,LOW,,LLM analysis failed,Monitor,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************7doA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",2026-05-25T18:12:36.100332
7,0,,"Orlando International Drive, Florida",3.0,Rosen Inn I Drive,"Orlando, FL 32819, USA",Google Places,,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=18102808524713638272&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:11:54.524440
8,0,,"Orlando International Drive, Florida",3.0,HOTEL,"5387 American Way, Orlando, FL 32819, USA",Google Places,,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=4844334983914976082&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:11:55.590456
9,0,,"Orlando International Drive, Florida",3.0,La Quinta Inn by Wyndham Orlando International Drive North,"5825 International Dr, Orlando, FL 32819, USA",Google Places,3.8,3032,OPERATIONAL,3,Moderate-to-low rating with enough reviews: 3032 | Renovation signals in reviews: 40.0%,0,5,0,100.0,4.6,0.0,4.6,0.0,0.0,0.0,,,0.4,True,2,https://maps.google.com/?cid=15277383584402687455&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:11:56.985724
10,0,,"Orlando International Drive, Florida",3.0,Wyndham Garden Orlando Universal / I Drive,"5855 American Way, Orlando, FL 32819, USA",Google Places,4.4,934,OPERATIONAL,1,Negative review signal: smell,0,5,0,100.0,5.0,0.0,5.0,0.4,0.0,0.4,,,0.0,False,0,https://maps.google.com/?cid=3080147850702071452&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:19.545831
