search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,cmbs_status,cmbs_details,cmbs_confidence,cmbs_evidence
"South Beach, Miami Beach, Florida",2.0,Renzzi On The Beach,"942 Pennsylvania Ave, Miami Beach, FL 33139, USA",2.7,61,OPERATIONAL,12,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 61 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: broken | Negative review signal: refund | Negative review signal: not maintained | Negative review signal: disappointing | Operational distress signal: no staff,https://maps.google.com/?cid=10685194591534037308&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Renzzi On The Beach"" ""942 Pennsylvania Ave, Miami Beach, FL 33139, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2B%2522942%2BPennsylvania%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33139%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGMzXtdAGIjC_jfc-OU6hnbqxDHbrAlHJqg0MEl4U3R1WnU17fgB-7iD1w2yuKiRZaBv3H4IgD54yAnJSWgFD | Search failed for '""Renzzi On The Beach"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2BCMBS&q=EgRyjzGyGM7XtdAGIjCtvmMgX-nwA9ir82DZew0WhBfheLx8tUHSHR7w85wWQYfsMfXX6WZgP2wVjCs9bYQyAnJSWgFD | Search failed for '""Renzzi On The Beach"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGM_XtdAGIjDAs26_74HNq9C60qFqeNK0_XXgFcv7aQa06NaxZw_1M2qso_2cVqAJivjqNNwmZMMyAnJSWgFD | Search failed for '""Renzzi On The Beach"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGNLXtdAGIjAOTmN65JyCo174kfEWcXELJ5jQBlyVwkQCwl1-qVf90apoyXLAq_q03BewHtUjzjAyAnJSWgFD"
"Mid-Beach, Miami Beach, Florida",2.0,Best Western Plus Atlantic Beach Resort,"4101 Collins Ave, Miami Beach, FL 33140, USA",3.4,3400,OPERATIONAL,12,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 3400 | Negative review signal: mold | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund | Negative review signal: disappointing | Operational distress signal: closed | Operational distress signal: understaffed,https://maps.google.com/?cid=8063864869224547005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Best Western Plus Atlantic Beach Resort"" ""4101 Collins Ave, Miami Beach, FL 33140, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2B%25224101%2BCollins%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33140%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGObYtdAGIjBhdDdVm3jXDY22Bvi2KnWQtTZgpA8-t_AVMcQHUdsJOXjQpzIef3VGL-Vgr6-CVfgyAnJSWgFD | Search failed for '""Best Western Plus Atlantic Beach Resort"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2BCMBS&q=EgRyjzGyGOjYtdAGIjDIpEXTk54l0DYj0HQPcIrT7h4juc4EwMSlf9gkWIRJmmZ86ulgSsHe8RrQwvBbSdwyAnJSWgFD | Search failed for '""Best Western Plus Atlantic Beach Resort"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGOvYtdAGIjB2QhLpK3u4Z_s1R-GSHp-SWYdoRvkYGc_vC7yexDenr0qRwn-CL6b-bC3BbuB8JpwyAnJSWgFD | Search failed for '""Best Western Plus Atlantic Beach Resort"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGO7YtdAGIjCTOaFcD6731AYyrxXsihGyGd9p8xCXKT4Kt4AELANF6eWyA-kLL6JrK0c26PZIEEMyAnJSWgFD"
"Mid-Beach, Miami Beach, Florida",2.0,Notebook Hotel,"216 W 43rd St, Miami Beach, FL 33140, USA",2.3,345,OPERATIONAL,11,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 345 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: smell | Negative review signal: bed bug | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned,https://maps.google.com/?cid=17054805790016989438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Notebook Hotel"" ""216 W 43rd St, Miami Beach, FL 33140, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2B%2522216%2BW%2B43rd%2BSt%252C%2BMiami%2BBeach%252C%2BFL%2B33140%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGMvYtdAGIjBG7XLc4MWtdJXNsyVwV_MkujjmjFy-h2JAxtHW9e-FKFZ3a5UjlW6iagN02ep8sVkyAnJSWgFD | Search failed for '""Notebook Hotel"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2BCMBS&q=EgRyjzGyGM3YtdAGIjBpP9iLbTMZj0qFLFEulP1wo0q3O6HcrFoY1juIqoCzs5cUlXkD9h2R40V_pTuKRBsyAnJSWgFD | Search failed for '""Notebook Hotel"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGM7YtdAGIjDh7diQOHAEdoBCGPJbC1be_hv6y3JD__cbQEeDh_n4MKObkYRW9sexM9d7r3ZBkL8yAnJSWgFD | Search failed for '""Notebook Hotel"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGM_YtdAGIjC2WLAF0W0z_Gt2BWNzLCMgmSjQ_RTI4nUFPynFLAFXSpP32dnA1kVb_0T0ksdPIzMyAnJSWgFD"
"South Beach, Miami Beach, Florida",2.0,Casa Boutique Hotel,"1334 Washington Ave, Miami Beach, FL 33139, USA",4.2,1096,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: worst | Negative review signal: refund | Negative review signal: noise | Negative review signal: stained | Operational distress signal: no staff,https://maps.google.com/?cid=18033946401649630043&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Casa Boutique Hotel"" ""1334 Washington Ave, Miami Beach, FL 33139, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2B%25221334%2BWashington%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33139%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGOfXtdAGIjCrSRpYdIfmPT-9vLHLY8IhahBDK4Z4kjJxALbqE7AB4TisiWG8hxaqLGTBT-eG5mQyAnJSWgFD | Search failed for '""Casa Boutique Hotel"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2BCMBS&q=EgRyjzGyGOjXtdAGIjDlWZ-iCwWeJRblpbRptZQaOv8JSxncrCFCiAFbvwfMOl70q6qzWMrOYHFvUTsIwPUyAnJSWgFD | Search failed for '""Casa Boutique Hotel"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGOrXtdAGIjCcwfe3fMtEAQmmhJRRLVBfrr6Pcj_W3PeA57eQdZOIw7m5gzAm2aPNvNTNXoG6oNkyAnJSWgFD | Search failed for '""Casa Boutique Hotel"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGOvXtdAGIjDJx67oMReh1z3VCp7MZIClfA46TnRXstvLjMjnOpRFypWF6AR_FjdEhSMBB6SdL4wyAnJSWgFD"
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" ""101 Fairway Dr, Miami, FL 33166, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2B%2522101%2BFairway%2BDr%252C%2BMiami%252C%2BFL%2B33166%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGIPatdAGIjCyMKbqCPF7FxcA17yLTaruRcptufCxQhx9uOLy5D-P2t0Il_hwRZ8101vfN4SXEH8yAnJSWgFD | Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2BCMBS&q=EgRyjzGyGIXatdAGIjCKLIRDGVuW68PRTnJy1_GETtnAOu9tzPVBcBxa_uDVZO7fC-u_j5zLDwuMPloL2yIyAnJSWgFD | Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGIbatdAGIjAzTKWaH-80vj69SNlVjXJX2GpcoIXhQZf_1wOZtS_pfrai0OMD3ZFNpI_hYGJBjhkyAnJSWgFD | Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGIfatdAGIjAljRcOBFe2fpeXNdEs-cND4jn5M1rux7Vl24ta083rgmJqWIwEvYGKxRGupwKoEagyAnJSWgFD"
"Orlando International Drive, Florida",3.0,Four Points by Sheraton Orlando International Drive,"5905 International Dr, Orlando, FL 32819, USA",4,3749,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: noise | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed,https://maps.google.com/?cid=896922369922574543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Four Points by Sheraton Orlando International Drive"" ""5905 International Dr, Orlando, FL 32819, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2B%25225905%2BInternational%2BDr%252C%2BOrlando%252C%2BFL%2B32819%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGO7atdAGIjC2s_-a-UELGT0Uox_dcla3BnHAxNFQ2bj-euCNfvVESrD76QdAw1Dki1tgP3PR4eIyAnJSWgFD | Search failed for '""Four Points by Sheraton Orlando International Drive"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2BCMBS&q=EgRyjzGyGPHatdAGIjClT9XqhqfZI9aQPYAfeToF-gtQTFjVDVlNryaH6bhO_dkxWF9ZUS7ISlYWtWfQdT4yAnJSWgFD | Search failed for '""Four Points by Sheraton Orlando International Drive"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGPPatdAGIjBSQfPwX2R4vZdrqDGud43TyVpX8lWTqdhWBXEDig_MEJlY3uy-hBUTEmHW7nMFOFMyAnJSWgFD | Search failed for '""Four Points by Sheraton Orlando International Drive"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGPbatdAGIjApS1bszoRDzWWgyq5s3Wup4Bi3zK9CItvcU8KnAEXEoD8booSmyvAxfIqLomD4yicyAnJSWgFD"
"Mid-Beach, Miami Beach, Florida",2.0,Secret Garden Miami Beach,"4210 Collins Ave, Miami Beach, FL 33140, USA",3.2,403,OPERATIONAL,8,Low rating: 3.2 | Moderate-to-low rating with enough reviews: 403 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund,https://maps.google.com/?cid=4073148234205387648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Secret Garden Miami Beach"" ""4210 Collins Ave, Miami Beach, FL 33140, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2B%25224210%2BCollins%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33140%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGK3YtdAGIjCaeC2TrFCbPzwBqTA81XNlKfMVEjcdS91uacJKw7ez4PQb0UrbocqupONaZ4mrbt0yAnJSWgFD | Search failed for '""Secret Garden Miami Beach"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2BCMBS&q=EgRyjzGyGK_YtdAGIjDIA5UVcGttAvdjW-9eZi-LYPNxrmeyV6ieTwC7a-xX7W64FKGU2MAk60tV48pF1WwyAnJSWgFD | Search failed for '""Secret Garden Miami Beach"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGLLYtdAGIjClQT5tfEzcV8JwjiG-bQJDs5VzHQg-yseX-xUfaV2Ek_y2FvlCkFOVJgnjGc9CzHEyAnJSWgFD | Search failed for '""Secret Garden Miami Beach"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGLTYtdAGIjBcyXwENyqW7ub6c1HExACcFBPsYbN-hOgm4SocABokFrrRbG7n0RAU4lQdSrMJRK0yAnJSWgFD"
"Miami International Airport, Florida",3.0,Clarion Inn & Suites Miami International Airport,"5301 NW 36th St, Miami Springs, FL 33166, USA",3.3,4716,OPERATIONAL,8,Low rating: 3.3 | Moderate-to-low rating with enough reviews: 4716 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down,https://maps.google.com/?cid=14300043739092299284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Clarion Inn & Suites Miami International Airport"" ""5301 NW 36th St, Miami Springs, FL 33166, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2B%25225301%2BNW%2B36th%2BSt%252C%2BMiami%2BSprings%252C%2BFL%2B33166%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGPHZtdAGIjAPMHSvyupK8tmsESGNfruYKdAElmqQE0ahkF-q633yYrWBMREmYPaBOKIdIP2UL4kyAnJSWgFD | Search failed for '""Clarion Inn & Suites Miami International Airport"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2BCMBS&q=EgRyjzGyGPPZtdAGIjDu8f_J_ohgauWI03DY5Gl1t0rddzyUeLp5Kt_X2uC4kRsdidQx-J6_ZVKo3iLU8rYyAnJSWgFD | Search failed for '""Clarion Inn & Suites Miami International Airport"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGPTZtdAGIjDgFgD7eDPsp9VSWAe_anzzgw7gAXMqQTC8zvy-yHFG0OkvBkgS5-Ujw5rDZBgpvOUyAnJSWgFD | Search failed for '""Clarion Inn & Suites Miami International Airport"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGPfZtdAGIjBjW_a_2gmvhVODJpJuqlyv3Z7XL4SJiEOEWR2hNgk2D-nwP9WXruC_PdGEqvzpTWcyAnJSWgFD"
"Orlando International Drive, Florida",3.0,Super 8 by Wyndham Orlando International Drive,"5900 American Way, Orlando, FL 32819, USA",3.1,1938,OPERATIONAL,8,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 1938 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: unsafe,https://maps.google.com/?cid=7160547498519547018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Super 8 by Wyndham Orlando International Drive"" ""5900 American Way, Orlando, FL 32819, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2B%25225900%2BAmerican%2BWay%252C%2BOrlando%252C%2BFL%2B32819%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGIXbtdAGIjDMOoJX-kWKxT9K5G2igA1TWRNHiZC5dYx8nLPOyu0fmu6h5U0XjuAvBImlk1TEF8kyAnJSWgFD | Search failed for '""Super 8 by Wyndham Orlando International Drive"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2BCMBS&q=EgRyjzGyGIbbtdAGIjBo6gYp9405J88CB6zmULbinYa77fpcwjGWLaDTC6NVDLgRWuCLQu3nvYvBo5m40YAyAnJSWgFD | Search failed for '""Super 8 by Wyndham Orlando International Drive"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGIjbtdAGIjCOqU3PHUQhSCZkbOgcHpryNfhbYH0OegNkDqnLgFnzZWpOGxLXuhVDUjGIywtmfGcyAnJSWgFD | Search failed for '""Super 8 by Wyndham Orlando International Drive"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGInbtdAGIjCrPb90zzU23n-f6cijBhizDNs4PgNTUzdUWKWfAia0ii7l60HnJyIQgcygj2WQ8SQyAnJSWgFD"
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,724,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 724 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Kenmore Village Hotel"" ""1050 Washington Ave, Miami Beach, FL 33139, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2B%25221050%2BWashington%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33139%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGLbXtdAGIjAmf0PPifTWohV1eRa9hygaBD1Mw7qFICf12N-TyEdrMjoTKnB_1iDxJ6cEhfJ3mXIyAnJSWgFD | Search failed for '""Kenmore Village Hotel"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2BCMBS&q=EgRyjzGyGLfXtdAGIjDs9L-lDBIbt5HXz86knvLCt1OaMntQNpTrZ6m7TxKs-huhuy-NlH2Wpd6H8epkFM8yAnJSWgFD | Search failed for '""Kenmore Village Hotel"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGLrXtdAGIjAqKncbaboQtTFS1D4MRMsc5tKQK0UNWG5PO0aNFk8K5d8KknzHk3KrDN64D56sfbkyAnJSWgFD | Search failed for '""Kenmore Village Hotel"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGLvXtdAGIjAeNMoyS7iSQETSCJNDa09DrLeK0yK_kOS5SvglHTjD1oLJBr-ofu-dvgPKNGCq2_EyAnJSWgFD"
